dt,dt_iso,timezone,city_name,lat,lon,temp,dew_point,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,dt_iso,month,day,hour
1514764800,2018-01-01 00:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,26.22,14.52,25.39,27.27,1036,,,57,2018,1,1,0
1514768400,2018-01-01 01:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,26.2,13.03,25.39,26.94,1037,,,53,2018,1,1,1
1514772000,2018-01-01 02:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,26.22,12.27,25.39,27.27,1038,,,51,2018,1,1,2
1514775600,2018-01-01 03:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,26.62,10.13,25.39,28.74,1038,,,45,2018,1,1,3
1514779200,2018-01-01 04:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,26.11,6.31,23.59,27.27,1039,,,38,2018,1,1,4
1514782800,2018-01-01 05:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,24.22,6.06,21.79,25.14,1039,,,41,2018,1,1,5
1514786400,2018-01-01 06:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,22.84,3.81,21.25,23.34,1040,,,39,2018,1,1,6
1514790000,2018-01-01 07:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,21.4,3.92,19.99,22.23,1040,,,42,2018,1,1,7
1514793600,2018-01-01 08:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,20.97,3.52,19.63,22.23,1040,,,42,2018,1,1,8
1514797200,2018-01-01 09:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,19.53,3.94,18.19,21.54,1041,,,46,2018,1,1,9
1514800800,2018-01-01 10:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,19.51,4.75,18.19,20.25,1041,,,48,2018,1,1,10
1514804400,2018-01-01 11:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,19.06,4.73,17.29,19.74,1042,,,49,2018,1,1,11
1514808000,2018-01-01 12:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,17.62,5.27,16.39,18.27,1042,,,54,2018,1,1,12
1514811600,2018-01-01 13:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,17.22,5.25,16.39,18.27,1043,,,55,2018,1,1,13
1514815200,2018-01-01 14:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,17.1,5.49,14.59,18.27,1043,,,56,2018,1,1,14
1514818800,2018-01-01 15:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,17.64,5.29,16.39,20.25,1044,,,54,2018,1,1,15
1514822400,2018-01-01 16:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,19.51,5.54,18.19,21.54,1044,,,50,2018,1,1,16
1514826000,2018-01-01 17:00:00 +0000 UTC,-21600,Dallas Love Field Airport,32.848103,-96.851206,21.4,6.93,19.99,25.14,1044,,,49,2018,1,1,17
